Operator,Noisy_val_approx,Ideal_val,difference,REM_seq,2q_gate,1q_gate,2q_gate_tr,1q_gate_tr,cx_gate,cx0_gate,no_T2,total_cnt,sum_cx,sum_cx0,sum_t2,sum_2q_tr,sum_1q_tr
"(((1, 4), (3, 6)), ((0, 4), (3, 7)), ((0, 5), (3, 6)))",-1.668889334,-2.112785099,0.197043451,-2.113814294,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((1, 4), (3, 6)), ((1, 4), (2, 7)), ((4, 5), (6, 7)))",-2.039809764,-2.108549973,0.004725216,-2.107911002,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((1, 4), (3, 6)), ((1, 4), (2, 7)), ((0, 1), (2, 3)))",-1.929816691,-2.108455004,0.031911647,-2.107836431,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((1, 4), (3, 6)), ((1, 4), (2, 7)), ((1, 5), (2, 6)))",-1.781266819,-2.135920236,0.125779046,-2.129352914,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((1, 4), (3, 6)), ((1, 4), (2, 7)), ((0, 5), (3, 6)))",-1.666230032,-2.108448672,0.195557326,-2.109869854,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((1, 4), (3, 6)), ((4, 5), (6, 7)), ((0, 1), (2, 3)))",-1.869991041,-2.108167985,0.056728257,-2.106019889,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((1, 4), (3, 6)), ((4, 5), (6, 7)), ((1, 5), (2, 6)))",-1.727295161,-2.135276658,0.166448901,-2.125359019,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((1, 4), (3, 6)), ((4, 5), (6, 7)), ((0, 5), (3, 6)))",-1.612782881,-2.108488001,0.245723565,-2.107425684,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((1, 4), (3, 6)), ((0, 1), (2, 3)), ((1, 5), (2, 6)))",-1.662468052,-2.135258852,0.223531141,-2.124846706,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((1, 4), (3, 6)), ((0, 1), (2, 3)), ((0, 5), (3, 6)))",-1.580382337,-2.108557905,0.278969431,-2.107587224,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((1, 4), (3, 6)), ((1, 5), (2, 6)), ((0, 5), (3, 6)))",-1.48828419,-2.135952492,0.41947423,-2.132958944,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 5), (2, 7)), ((1, 5), (3, 7)), ((0, 4), (3, 7)))",-2.116640769,-2.116640769,0,-2.116119572,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 5), (2, 7)), ((1, 5), (3, 7)), ((1, 4), (2, 7)))",-2.113896633,-2.113896633,0,-2.113369179,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 5), (2, 7)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))",-2.044294728,-2.112901078,0.004706831,-2.112343859,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 5), (2, 7)), ((1, 5), (3, 7)), ((0, 1), (2, 3)))",-1.934174911,-2.112911799,0.031946875,-2.112222519,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
